Place_ID,Nombre,Tipo_Principal,Todos_Tipos,Dirección,Rating,Total_Ratings,Abierto_Ahora,Horarios,Teléfono,Sitio_Web,Latitud,Longitud
ChIJZ-FolNSR05ERAWBeuWKxOeY,Ayahuasca bar,bar,"bar, point_of_interest, establishment","180301, Baños de Agua Santa",4.8,62,False,Monday: 7:00 PM – 3:00 AM; Tuesday: 7:00 PM – 3:00 AM; Wednesday: 7:00 PM – 3:00 AM; Thursday: 7:00 PM – 3:00 AM; Friday: 7:00 PM – 3:00 AM; Saturday: 7:00 PM – 3:00 AM; Sunday: 7:00 PM – 3:00 AM,099 287 2018,https://www.instagram.com/ayahuascabar_teaandbeer,-1.3965744,-78.42208959999999
ChIJQ04SQyKR05ERmAgWk7CZfEc,All the toys BAR,bar,"bar, point_of_interest, establishment","JH3H+95H, Banos",4.3,3,,No disponible,,,-1.3965563,-78.42202569999999
ChIJte35ztGR05ER3AHN_zRx5m4,Bar cafe del Jack,cafe,"cafe, food, point_of_interest, establishment","JH3H+936, Banos",4.8,4,False,Monday: 4:00 – 7:00 PM; Tuesday: 4:00 – 9:00 PM; Wednesday: 4:00 – 9:00 PM; Thursday: 1:00 – 10:00 PM; Friday: 1:00 – 10:00 PM; Saturday: 1:00 – 10:00 PM; Sunday: 4:00 – 9:00 PM,,,-1.3965797,-78.4223739
ChIJuXHCFwCR05ERHqEhFiSxFqk,BAR,cafe,"cafe, food, store, point_of_interest, establishment","16 de Diciembre &, Baños de Agua Santa",5.0,12,True,Monday: 8:30 AM – 10:30 PM; Tuesday: 8:30 AM – 10:30 PM; Wednesday: 8:30 AM – 10:30 PM; Thursday: 8:30 AM – 10:30 PM; Friday: 8:30 AM – 10:30 PM; Saturday: 8:00 – 11:00 PM; Sunday: 8:00 – 11:00 PM,096 089 1655,,-1.3948121,-78.4209892
ChIJyUYlIWWR05ERVQt-lzuh4UI,Caverna Sigsi - Huayco-,tourist_attraction,"tourist_attraction, point_of_interest, establishment","Avenida Amazonas, y, Baños de Agua Santa",4.6,644,True,Monday: 9:00 AM – 10:00 PM; Tuesday: 9:00 AM – 10:00 PM; Wednesday: 9:00 AM – 10:00 PM; Thursday: 9:00 AM – 10:00 PM; Friday: 9:00 AM – 10:00 PM; Saturday: 9:00 AM – 10:00 PM; Sunday: 9:00 AM – 10:00 PM,099 578 5453,,-1.3944235,-78.42181029999999
ChIJHy1jwz-R05ERWjds8OXYdDk,Hostal Transilvania,lodging,"lodging, point_of_interest, establishment","16 de Diciembre &, Baños de Agua Santa",4.3,330,True,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,,http://www.hostal-transilvania.com/,-1.396262,-78.4214247
ChIJkWTUWCKR05ERW2a7L0t8l-0,Hostal Charvic 2,lodging,"lodging, point_of_interest, establishment","De Los Combatientes 470, Baños de Agua Santa",,0,,No disponible,(03) 274-0479,,-1.3963676,-78.4214622
ChIJr8Iy9SKR05ER8PSpYBfAulw,FlatShare in Baños,lodging,"lodging, point_of_interest, establishment","Oriente 905 y, Baños de Agua Santa",5.0,10,True,Monday: 7:00 AM – 11:30 PM; Tuesday: 7:00 AM – 11:30 PM; Wednesday: 7:00 AM – 11:30 PM; Thursday: 7:00 AM – 11:30 PM; Friday: 7:00 AM – 11:30 PM; Saturday: 7:00 AM – 11:30 PM; Sunday: 7:00 AM – 11:30 PM,099 250 6156,https://air.tl/pFs0IyFg,-1.3958537,-78.42093659999999
ChIJhygO06aR05ERB0H5xjlxRDk,Hotel Los Ríos,lodging,"lodging, point_of_interest, establishment","https://losrioshotel.net/hotel, Baños de Agua Santa",4.3,154,True,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,099 529 1676,,-1.3966553,-78.4220194
ChIJIaQxNZeR05ERPqaVf9urK04,Rincón de Teris,lodging,"lodging, point_of_interest, establishment","JH4H+5RH, Banos",,0,,No disponible,,,-1.3945594,-78.4204101
ChIJjRQ-pmeR05ER86XQWvCC8Wk,El Aguacate,lodging,"lodging, point_of_interest, establishment","JH4H+FJX, Banos",4.4,14,,No disponible,099 624 2032,,-1.3937657,-78.4209055
ChIJPYlrjCKR05ERBylImjzVjAo,Hotel Amazonia Y Sol,lodging,"lodging, point_of_interest, establishment","12 de Noviembre, Baños de Agua Santa",4.3,70,True,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,099 202 4602,,-1.396115,-78.4207393
ChIJ1UwNXyKR05ERoqh3D1IyrkM,Hostal Metro Turis,lodging,"lodging, point_of_interest, establishment","y, Oriente & 16 de Diciembre, Baños de Agua Santa",4.1,32,,No disponible,(03) 274-1685,http://www.hostalmetroturis.com/,-1.3965355,-78.4212488
ChIJ8x1yN8uR05ERUQ2P2PwDhGQ,Rent Apartment,lodging,"lodging, point_of_interest, establishment","12 de Noviembre 511, Baños de Agua Santa",,0,,No disponible,,,-1.3963127,-78.420817
ChIJE-ANv9KR05ER2z4CEYS730o,BRISHOME,lodging,"lodging, point_of_interest, establishment",Banos,,0,,No disponible,098 403 0318,,-1.3956929,-78.4202876
ChIJgTjMXiKR05ERqrQ47AevCvA,Hostel ecuador,lodging,"lodging, point_of_interest, establishment","JH3H+8FR, Banos",4.7,3,,No disponible,,,-1.3966481,-78.4213553
ChIJJ7qyZPOR05ERWCZDLMyc9Nc,Casa Gaviota Dorada,lodging,"lodging, point_of_interest, establishment",Banos,4.9,48,True,Monday: 9:00 AM – 8:00 PM; Tuesday: 9:00 AM – 8:00 PM; Wednesday: 9:00 AM – 8:00 PM; Thursday: 9:00 AM – 8:00 PM; Friday: 9:00 AM – 8:00 PM; Saturday: 9:00 AM – 8:00 PM; Sunday: 9:00 AM – 8:00 PM,099 667 6116,https://wa.me/message/RSDAKLCRQQFZK1,-1.3957157,-78.42026709999999
ChIJl5akpyOR05EREm0NesHAOPI,HICKORYFOOD BISTRŌ - BAÑOS,restaurant,"restaurant, food, point_of_interest, establishment","Oriente y, Eloy Alfaro, Baños de Agua Santa",4.5,376,False,Monday: 2:00 – 11:00 PM; Tuesday: 2:00 – 11:00 PM; Wednesday: 2:00 – 11:00 PM; Thursday: 2:00 – 11:00 PM; Friday: 2:00 PM – 12:00 AM; Saturday: 2:00 PM – 1:00 AM; Sunday: 2:00 – 10:00 PM,099 448 3449,,-1.3967332,-78.4220189
ChIJJc5r6n6R05ER5o6z0oLTf5k,Mollejitas Tía Maruja,restaurant,"restaurant, food, point_of_interest, establishment","Eloy Alfaro &, Baños de Agua Santa",,0,False,Monday: 11:30 AM – 10:00 PM; Tuesday: 11:30 AM – 10:00 PM; Wednesday: 11:30 AM – 10:00 PM; Thursday: 11:30 AM – 10:00 PM; Friday: 11:30 AM – 10:00 PM; Saturday: 11:45 AM – 10:00 PM; Sunday: Closed,098 338 3722,,-1.3943143,-78.4212654
ChIJd6XD-4mR05ERHLRNqVT_sQw,Delicioso Pollo,restaurant,"restaurant, food, point_of_interest, establishment","Julio Cañar 416b, Baños de Agua Santa",4.5,2,True,Monday: 12:00 AM – 9:00 PM; Tuesday: 12:00 AM – 9:00 PM; Wednesday: 12:00 AM – 9:00 PM; Thursday: 12:00 AM – 9:00 PM; Friday: 12:00 AM – 9:00 PM; Saturday: 12:00 AM – 9:00 PM; Sunday: 12:00 AM – 3:00 PM,098 415 8427,,-1.3950467,-78.4208373
ChIJbcSFJzeR05ERhY0R-5yoTu8,Restaurante Pimienta,restaurant,"restaurant, food, point_of_interest, establishment","JH3H+PJ9, Banos",,0,,No disponible,,,-1.3957193,-78.4208977
ChIJdaTMpaiR05ERyzX1URFWSSQ,TURI GRILL Food & Drink,restaurant,"restaurant, bar, food, point_of_interest, establishment",Banos,4.4,37,False,Monday: 12:00 – 11:00 PM; Tuesday: 12:00 – 11:00 PM; Wednesday: Closed; Thursday: 12:00 – 11:00 PM; Friday: 12:00 – 11:00 PM; Saturday: 12:00 – 11:00 PM; Sunday: 12:00 – 11:00 PM,098 291 4855,https://turigrill.wixsite.com/food-and-drink,-1.395784,-78.4208941
ChIJHdm0OA6R05ERsW6wghIiMdg,Monarca Restaurante Pizzería,restaurant,"restaurant, food, point_of_interest, establishment","180251, Baños de Agua Santa",4.9,47,False,Monday: 5:00 – 11:00 PM; Tuesday: 5:00 – 11:00 PM; Wednesday: 5:00 – 11:00 PM; Thursday: 5:00 – 11:00 PM; Friday: 5:00 – 11:00 PM; Saturday: 12:00 – 11:00 PM; Sunday: 12:00 – 11:00 PM,098 306 9061,https://linktr.ee/monarca.rest,-1.3960519,-78.4210311
ChIJORn7jiKR05ERBk73Fz8E98k,Sweet carbon,restaurant,"restaurant, food, point_of_interest, establishment","Oriente y, 12 de Noviembre, Baños de Agua Santa",4.3,256,False,Monday: 6:00 – 10:00 PM; Tuesday: Closed; Wednesday: 5:30 – 10:00 PM; Thursday: 5:30 – 10:00 PM; Friday: 5:30 – 10:00 PM; Saturday: 12:30 – 10:00 PM; Sunday: 12:30 – 10:00 PM,(03) 274-0353,,-1.395762,-78.4207435
ChIJbcughSKR05ERkbfK8Ai4sxo,La Chimenea Asadero,restaurant,"restaurant, food, point_of_interest, establishment","Calle oriente y, 12 de Noviembre, Baños de Agua Santa",4.5,139,True,Monday: 6:00 – 11:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 6:00 – 11:00 PM; Thursday: 6:00 – 11:00 PM; Friday: 6:00 – 11:00 PM; Saturday: 6:00 – 11:00 PM; Sunday: 6:00 – 11:00 PM,(03) 274-0879,,-1.395701,-78.4206885
ChIJPVLh7NqR05ERh3dLWjKplPc,Pollos Del Colibrí,restaurant,"restaurant, food, point_of_interest, establishment","Oriente 904, Baños de Agua Santa",5.0,1,False,Monday: 6:00 – 10:30 PM; Tuesday: 6:00 – 10:30 PM; Wednesday: 6:00 – 10:30 PM; Thursday: 6:00 – 10:30 PM; Friday: 6:00 – 10:30 PM; Saturday: 6:00 – 10:30 PM; Sunday: 6:00 – 10:30 PM,098 372 7473,,-1.3960419,-78.4209612
ChIJOUerVFOR05ERw1gcP9xCaOk,Ambrosía Rooftop Baños de Agua Santa,restaurant,"restaurant, food, point_of_interest, establishment","Calle Oriente, y, Baños de Agua Santa",5.0,4,False,Monday: Closed; Tuesday: 4:00 PM – 12:00 AM; Wednesday: 4:00 PM – 12:00 AM; Thursday: 4:00 PM – 12:00 AM; Friday: 4:00 PM – 12:00 AM; Saturday: 4:00 PM – 12:00 AM; Sunday: 1:00 – 10:00 PM,,,-1.3955059,-78.42057109999999
ChIJ8enfnRaR05ERMGqOvuGu8Yo,LOLA Café Restaurant,restaurant,"restaurant, food, point_of_interest, establishment","CALLE ORIENTE, Y, Baños de Agua Santa",4.9,121,False,Monday: 10:00 AM – 10:00 PM; Tuesday: Closed; Wednesday: 10:00 AM – 10:00 PM; Thursday: 10:00 AM – 10:00 PM; Friday: 8:00 AM – 10:00 PM; Saturday: 8:00 AM – 11:00 PM; Sunday: 8:00 AM – 10:00 PM,098 690 2465,,-1.3960827,-78.4209731
ChIJVdXFl1WR05ERoCDlDa-vEj8,Wok Town Baños,restaurant,"restaurant, food, point_of_interest, establishment","Oriente 905, Baños de Agua Santa",4.9,27,False,Monday: Closed; Tuesday: 6:30 – 10:30 PM; Wednesday: 6:30 – 10:30 PM; Thursday: 6:30 – 10:30 PM; Friday: 6:30 – 10:30 PM; Saturday: 6:30 – 10:30 PM; Sunday: 6:30 – 10:30 PM,099 262 1510,,-1.3961418,-78.4209812
ChIJdeaznCKR05ERxx0LgtKGHEE,El Toro Loco,restaurant,"restaurant, food, point_of_interest, establishment","JH3H+RRM, Banos",5.0,3,True,Monday: 10:00 AM – 10:00 PM; Tuesday: 10:00 AM – 10:00 PM; Wednesday: 10:00 AM – 10:00 PM; Thursday: 10:00 AM – 10:00 PM; Friday: 10:00 AM – 10:00 PM; Saturday: 10:00 AM – 10:00 PM; Sunday: 12:30 – 2:30 PM,,,-1.3954124,-78.4204591
ChIJB61bstCR05ERuT8kSOAOKPU,ADRIANTRAVELER,restaurant,"restaurant, food, point_of_interest, establishment","Oriente 819, Baños de Agua Santa",,0,,No disponible,099 755 0609,,-1.3951942,-78.4203787
ChIJfa5KBwCR05ERuEOC7Upfzow,Sabor express.ecu comida venezolana,restaurant,"restaurant, food, point_of_interest, establishment","Julio Cañar &, Baños de Agua Santa",5.0,3,False,Monday: 8:00 AM – 10:00 PM; Tuesday: Closed; Wednesday: 8:00 AM – 10:00 PM; Thursday: 8:00 AM – 10:00 PM; Friday: 8:00 AM – 10:00 PM; Saturday: 8:00 AM – 10:00 PM; Sunday: 8:00 AM – 10:00 PM,,,-1.3953122,-78.42039059999999
ChIJi2ReI5KR05ERcJAil3m0dAE,BUQUÉT FAST FOOD & GOURMET,restaurant,"restaurant, food, point_of_interest, establishment","JH3H+96C, Oriente, Baños de Agua Santa",1.0,1,,No disponible,098 852 4496,http://buquetfastfoodandgourmet.blogspot.com/,-1.3965526,-78.4219894
ChIJdXc0tSOR05ERKHlNXrGkm9s,Melito's,restaurant,"restaurant, food, point_of_interest, establishment",Banos,4.6,44,False,Monday: 6:00 PM – 12:00 AM; Tuesday: 6:00 PM – 12:00 AM; Wednesday: Closed; Thursday: 6:00 PM – 12:00 AM; Friday: 6:00 PM – 12:00 AM; Saturday: 6:00 PM – 12:00 AM; Sunday: 6:00 PM – 12:00 AM,099 292 9205,,-1.396557,-78.4220334
ChIJZQdg3JiR05ER-z8Po_mWzxk,El Ashe Cubano,restaurant,"restaurant, food, point_of_interest, establishment","Oriente &, Baños de Agua Santa",3.3,3,,No disponible,,,-1.395601,-78.4204092
ChIJg1441a2R05ERRFsEYudH8FI,Juegos,bar,"bar, point_of_interest, establishment","16 de Diciembre 470, Baños de Agua Santa",,0,,No disponible,,,-1.3963642,-78.42145409999999
ChIJx-TVtBiR05ERH8ijEcxsu_I,En mi changarrito,bar,"bar, point_of_interest, establishment","JH3H+CGX, Oriente, Baños de Agua Santa",5.0,1,False,Monday: Closed; Tuesday: 11:00 AM – 12:00 AM; Wednesday: 11:00 AM – 12:00 AM; Thursday: 11:00 AM – 12:00 AM; Friday: 11:00 AM – 3:00 AM; Saturday: 11:00 AM – 3:00 AM; Sunday: Closed,099 549 6840,,-1.39639,-78.4211349
ChIJbcaUtV6R05ERPplYb0uLbQA,The Crown,bar,"bar, point_of_interest, establishment","JH3H+866, Oriente, Baños de Agua Santa",5.0,1,,No disponible,098 392 2190,,-1.3967125,-78.4219885
ChIJn8-pWQCR05ER149sOJ4yntk,Alquimia Bar,bar,"bar, point_of_interest, establishment","JH3H+84C, Banos",5.0,1,False,Monday: Closed; Tuesday: 3:00 PM – 12:00 AM; Wednesday: 3:00 PM – 12:00 AM; Thursday: 3:00 PM – 12:00 AM; Friday: 3:00 PM – 3:00 AM; Saturday: 3:00 PM – 3:00 AM; Sunday: 3:00 – 9:00 PM,099 584 4022,,-1.3966954,-78.4222287
ChIJN8NGYSKR05ERBRqWufphGRA,Aromé Delicatessen,cafe,"cafe, food, point_of_interest, establishment","Av Oriente, Antonio Paez, Baños de Agua Santa",4.6,190,True,Monday: 8:15 AM – 9:30 PM; Tuesday: 8:15 AM – 9:30 PM; Wednesday: 8:15 AM – 9:30 PM; Thursday: 8:15 AM – 9:30 PM; Friday: 8:15 AM – 9:30 PM; Saturday: 8:15 AM – 9:30 PM; Sunday: 8:15 AM – 9:30 PM,098 410 6485,,-1.3955303,-78.4208082
ChIJLdk1HgCR05ERg9Os9Py2gYY,"Desayunos, bolones,tigrillo",cafe,"cafe, food, store, point_of_interest, establishment","JH4H+HHH, Avenida Amazonas, Baños de Agua Santa",,0,,No disponible,,,-1.3935532,-78.42101699999999
ChIJ8TvLGEGR05ERgJbK-0aVlXk,Charlie's House,lodging,"lodging, point_of_interest, establishment","180301, Baños de Agua Santa",5.0,1,,No disponible,099 578 8622,,-1.3956044,-78.4201667
ChIJySToQaeR05ERrK_8l_A4mQA,Sweet Home,lodging,"lodging, point_of_interest, establishment","Calle de las flores, y, Baños de Agua Santa",,0,,No disponible,098 763 9889,https://www.airbnb.com.ec/rooms/16442161?adults=1&category_tag=Tag:8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=310770975&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692740967_+P4UeEB6TOrCxR/a&previous_page_section_name=1000&federated_search_id=b1ce000e-597c-4dcd-a700-4b866a3e2b11,-1.3938164,-78.42002049999999
ChIJoWoEe7KR05ER2g3lTJAa7co,Hospedaje Vip J&J,lodging,"lodging, point_of_interest, establishment","593, Baños de Agua Santa",,0,,No disponible,098 301 0313,,-1.3938164,-78.42002049999999
ChIJ6XDW_6aR05ERawtyE9MpDfI,The BLUE FOUNTAIN,lodging,"lodging, point_of_interest, establishment","12 de Noviembre, y, Baños de Agua Santa",5.0,1,,No disponible,099 526 4615,,-1.3964394,-78.4207
ChIJNx3LtNeR05ERJCpdeIPYTIQ,Hotel Quinta la Aurora,lodging,"lodging, point_of_interest, establishment","Antonio Paez, Baños de Agua Santa",4.7,22,,No disponible,096 230 7170,,-1.3956823,-78.4196281
ChIJcyUINcmR05ERGZLxBScRA_Y,Casa Gardenia,lodging,"lodging, point_of_interest, establishment","180250, Baños de Agua Santa",4.5,6,,No disponible,096 054 3336,,-1.3933833,-78.4209448
ChIJWXBLdySR05ERl-829c32Ro8,LA CASA DE MI PADRE,lodging,"lodging, point_of_interest, establishment","De Los Combatientes, Baños de Agua Santa",3.5,10,,No disponible,,,-1.3935794,-78.4200936
ChIJWZq-MAmR05ERCVV9XqxOK44,Casas Vacacionales Baños,lodging,"lodging, point_of_interest, establishment","Ambato, Baños de Agua Santa",5.0,64,True,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,099 665 8237,http://www.casasholidayhomes.com/,-1.3964815,-78.4201113
ChIJESFELv6R05ERW5xx7epT-_I,Hostal Casa Posada,lodging,"lodging, point_of_interest, establishment","Calle 12 de Noviembre Entre calle Ambato, y, Baños de Agua Santa",3.9,19,,No disponible,099 523 7555,https://www.facebook.com/casaposadabanios/,-1.3967273,-78.4206995
ChIJzanQJl2R05ERCwMHjsZDAAw,JAMAICA EXPRESS,restaurant,"restaurant, food, point_of_interest, establishment","Oriente, y, Baños de Agua Santa",1.0,1,False,Monday: 3:00 – 11:30 PM; Tuesday: 3:00 – 11:30 PM; Wednesday: 3:00 – 11:30 PM; Thursday: 3:00 – 11:30 PM; Friday: 3:00 – 11:30 PM; Saturday: 3:00 – 11:30 PM; Sunday: 3:00 – 11:30 PM,099 877 3108,,-1.3950769,-78.4202555
ChIJ-e20ONuR05ERlXgEcMWnAN0,La Sazón del Gordo Felix,restaurant,"restaurant, food, point_of_interest, establishment","Arturo, Oriente, Baños de Agua Santa",,0,True,Monday: 7:00 AM – 10:00 PM; Tuesday: 7:00 AM – 10:00 PM; Wednesday: Closed; Thursday: 7:00 AM – 10:00 PM; Friday: 7:00 AM – 10:00 PM; Saturday: 7:00 AM – 10:00 PM; Sunday: 7:00 AM – 10:00 PM,096 316 9025,,-1.3946671,-78.4201198
ChIJk5v8QQCR05ER6DiMFtWzfb4,Brasas Burgers,restaurant,"restaurant, meal_takeaway, food, point_of_interest, establishment","Calle 12 de Noviembre, y, Baños de Agua Santa",,0,False,Monday: 2:00 – 11:00 PM; Tuesday: 2:00 – 11:00 PM; Wednesday: 2:00 – 11:00 PM; Thursday: 2:00 PM – 12:00 AM; Friday: 2:00 PM – 2:00 AM; Saturday: 2:00 PM – 2:00 AM; Sunday: 2:00 PM – 12:00 AM,098 719 1535,,-1.3962093,-78.4207587
ChIJAYg4QwCR05ER8VkCLKaAP3U,5to Elemento,restaurant,"restaurant, food, point_of_interest, establishment","JH3H+CGX, Oriente, Baños de Agua Santa",5.0,1,,No disponible,,,-1.3963962,-78.4211327
